Name,Release Year,Rating
The Shawshank Redemption,(1994),9.3
The Godfather,(1972),9.2
The Dark Knight,(2008),9.0
The Godfather: Part II,(1974),9.0
The Lord of the Rings: The Return of the King,(2003),8.9
Pulp Fiction,(1994),8.9
Schindler's List,(1993),8.9
12 Angry Men,(1957),8.9
Fight Club,(1999),8.8
The Lord of the Rings: The Fellowship of the Ring,(2001),8.8
Forrest Gump,(1994),8.8
The Lord of the Rings: The Two Towers,(2002),8.7
Goodfellas,(1990),8.7
One Flew Over the Cuckoo's Nest,(1975),8.7
Seppuku,(1962),8.7
Gisaengchung,(2019),8.6
Interstellar,(2014),8.6
Cidade de Deus,(2002),8.6
Saving Private Ryan,(1998),8.6
The Green Mile,(1999),8.6
La vita è bella,(1997),8.6
Se7en,(1995),8.6
The Silence of the Lambs,(1991),8.6
Anand,(1971),8.6
Shichinin no samurai,(1954),8.6
It's a Wonderful Life,(1946),8.6
Joker,(2019),8.5
Whiplash,(2014),8.5
The Intouchables,(2011),8.5
The Prestige,(2006),8.5
The Departed,(2006),8.5
The Pianist,(2002),8.5
Gladiator,(2000),8.5
American History X,(1998),8.5
Léon,(1994),8.5
The Lion King,(1994),8.5
Nuovo Cinema Paradiso,(1988),8.5
Hotaru no haka,(1988),8.5
Casablanca,(1942),8.5
Modern Times,(1936),8.5
City Lights,(1931),8.5
Capharnaüm,(2018),8.4
Kimi no na wa.,(2016),8.4
Dangal,(2016),8.4
Avengers: Endgame,(2019),8.4
Django Unchained,(2012),8.4
3 Idiots,(2009),8.4
Taare Zameen Par,(2007),8.4
The Lives of Others,(2006),8.4
Oldeuboi,(2003),8.4
Once Upon a Time in America,(1984),8.4
The Shining,(1980),8.4
Apocalypse Now,(1979),8.4
Tengoku to jigoku,(1963),8.4
Witness for the Prosecution,(1957),8.4
Paths of Glory,(1957),8.4
Sunset Blvd.,(1950),8.4
The Great Dictator,(1940),8.4
1917,(2019),8.3
Jagten,(2012),8.3
Jodaeiye Nader az Simin,(2011),8.3
Incendies,(2010),8.3
Babam ve Oglum,(2005),8.3
Inglourious Basterds,(2009),8.3
Eternal Sunshine of the Spotless Mind,(2004),8.3
Requiem for a Dream,(2000),8.3
American Beauty,(1999),8.3
Good Will Hunting,(1997),8.3
Bacheha-Ye aseman,(1997),8.3
Eskiya,(1996),8.3
Braveheart,(1995),8.3
Reservoir Dogs,(1992),8.3
Full Metal Jacket,(1987),8.3
Idi i smotri,(1985),8.3
Amadeus,(1984),8.3
Scarface,(1983),8.3
Das Boot,(1981),8.3
Taxi Driver,(1976),8.3
The Sting,(1973),8.3
A Clockwork Orange,(1971),8.3
Lawrence of Arabia,(1962),8.3
The Apartment,(1960),8.3
Ikiru,(1952),8.3
Ladri di biciclette,(1948),8.3
Double Indemnity,(1944),8.3
Citizen Kane,(1941),8.3
Metropolis,(1927),8.3
The Kid,(1921),8.3
Green Book,(2018),8.2
"Three Billboards Outside Ebbing, Missouri",(2017),8.2
Drishyam,(2015),8.2
Gangs of Wasseypur,(2012),8.2
El secreto de sus ojos,(2009),8.2
Warrior,(2011),8.2
The Wolf of Wall Street,(2013),8.2
There Will Be Blood,(2007),8.2
Pan's Labyrinth,(2006),8.2
V for Vendetta,(2005),8.2
Rang De Basanti,(2006),8.2
Der Untergang,(2004),8.2
A Beautiful Mind,(2001),8.2
Hera Pheri,(2000),8.2
L.A. Confidential,(1997),8.2
Heat,(1995),8.2
Casino,(1995),8.2
Unforgiven,(1992),8.2
Ran,(1985),8.2
Raging Bull,(1980),8.2
Stalker,(1979),8.2
Chinatown,(1974),8.2
The Great Escape,(1963),8.2
To Kill a Mockingbird,(1962),8.2
Yôjinbô,(1961),8.2
Judgment at Nuremberg,(1961),8.2
Smultronstället,(1957),8.2
Det sjunde inseglet,(1957),8.2
Tôkyô monogatari,(1953),8.2
Rashômon,(1950),8.2
All About Eve,(1950),8.2
The Treasure of the Sierra Madre,(1948),8.2
The Gold Rush,(1925),8.2
Portrait de la jeune fille en feu,(2019),8.1
Ah-ga-ssi,(2016),8.1
Logan,(2017),8.1
Room,(I) (2015),8.1
Relatos salvajes,(2014),8.1
PK,(2014),8.1
Gone Girl,(2014),8.1
Hacksaw Ridge,(2016),8.1
Inside Out,(I) (2015),8.1
12 Years a Slave,(2013),8.1
Rush,(I) (2013),8.1
Ford v Ferrari,(2019),8.1
Spotlight,(I) (2015),8.1
The Help,(2011),8.1
Prisoners,(2013),8.1
Gran Torino,(2008),8.1
Harry Potter and the Deathly Hallows: Part 2,(2011),8.1
Hachi: A Dog's Tale,(2009),8.1
Mary and Max,(2009),8.1
Into the Wild,(2007),8.1
No Country for Old Men,(2007),8.1
Million Dollar Baby,(2004),8.1
Hotel Rwanda,(2004),8.1
Salinui chueok,(2003),8.1
Catch Me If You Can,(2002),8.1
Amores perros,(2000),8.1
The Sixth Sense,(1999),8.1
The Truman Show,(1998),8.1
Fa yeung nin wah,(2000),8.1
Trainspotting,(1996),8.1
Fargo,(1996),8.1
La haine,(1995),8.1
Before Sunrise,(1995),8.1
In the Name of the Father,(1993),8.1
Dead Poets Society,(1989),8.1
Stand by Me,(1986),8.1
Platoon,(1986),8.1
"Paris, Texas",(1984),8.1
Fanny och Alexander,(1982),8.1
The Elephant Man,(1980),8.1
The Deer Hunter,(1978),8.1
Rocky,(1976),8.1
Network,(1976),8.1
Barry Lyndon,(1975),8.1
Cool Hand Luke,(1967),8.1
Persona,(1966),8.1
Andrei Rublev,(1966),8.1
La battaglia di Algeri,(1966),8.1
Les quatre cents coups,(1959),8.1
Ben-Hur,(1959),8.1
Kumonosu-jô,(1957),8.1
The Bridge on the River Kwai,(1957),8.1
On the Waterfront,(1954),8.1
Le salaire de la peur,(1953),8.1
Rebecca,(1940),8.1
Mr. Smith Goes to Washington,(1939),8.1
Gone with the Wind,(1939),8.1
La passion de Jeanne d'Arc,(1928),8.1
The General,(1926),8.1
Before Sunset,(2004),8.0
